[2026-06-25T13:57:36.795] CC15 search started
[2026-06-25T13:57:36.795] range: 10^18 - 9220000000000000000
[2026-06-25T13:57:36.799] batch size: 10000000000000000
[2026-06-25T13:57:36.799] threads: 2
[2026-06-25T14:13:20.554] [60/822] 1,590,000,000,000,000,000-1,600,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=944.0s ETA=200min 0.4%
[2026-06-25T14:13:36.345] [61/822] 1,600,000,000,000,000,000-1,610,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=960.0s ETA=200min 0.6%
[2026-06-25T14:13:52.070] [62/822] 1,610,000,000,000,000,000-1,620,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=975.0s ETA=199min 0.7%
[2026-06-25T14:14:07.699] [63/822] 1,620,000,000,000,000,000-1,630,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=991.0s ETA=199min 0.8%
[2026-06-25T14:14:23.295] [64/822] 1,630,000,000,000,000,000-1,640,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1006.0s ETA=199min 0.9%
[2026-06-25T14:14:38.938] [65/822] 1,640,000,000,000,000,000-1,650,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1022.0s ETA=198min 1.1%
[2026-06-25T14:14:54.589] [66/822] 1,650,000,000,000,000,000-1,660,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1038.0s ETA=198min -1.1%
[2026-06-25T14:15:10.305] [67/822] 1,660,000,000,000,000,000-1,670,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1054.0s ETA=198min -0.9%
[2026-06-25T14:15:25.914] [68/822] 1,670,000,000,000,000,000-1,680,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1069.0s ETA=198min -0.8%
[2026-06-25T14:15:41.465] [69/822] 1,680,000,000,000,000,000-1,690,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1085.0s ETA=197min -0.7%
[2026-06-25T14:15:57.143] [70/822] 1,690,000,000,000,000,000-1,700,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1100.0s ETA=197min -0.6%
[2026-06-25T14:16:12.751] [71/822] 1,700,000,000,000,000,000-1,710,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1116.0s ETA=197min -0.5%
[2026-06-25T14:16:28.344] [72/822] 1,710,000,000,000,000,000-1,720,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1132.0s ETA=197min -0.3%
[2026-06-25T14:16:43.895] [73/822] 1,720,000,000,000,000,000-1,730,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1147.0s ETA=196min -0.2%
[2026-06-25T14:16:59.768] [74/822] 1,730,000,000,000,000,000-1,740,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1163.0s ETA=196min -0.1%
[2026-06-25T14:17:15.674] [75/822] 1,740,000,000,000,000,000-1,750,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1179.0s ETA=196min 0.0%
[2026-06-25T14:17:31.588] [76/822] 1,750,000,000,000,000,000-1,760,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1195.0s ETA=195min 0.1%
[2026-06-25T14:17:47.459] [77/822] 1,760,000,000,000,000,000-1,770,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1211.0s ETA=195min 0.3%
[2026-06-25T14:18:03.377] [78/822] 1,770,000,000,000,000,000-1,780,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1227.0s ETA=195min 0.4%
[2026-06-25T14:18:19.401] [79/822] 1,780,000,000,000,000,000-1,790,000,000,000,000,000 | 16.0s | found=0 total=0 | elapsed=1243.0s ETA=195min 0.5%
[2026-06-25T14:18:35.317] [80/822] 1,790,000,000,000,000,000-1,800,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1259.0s ETA=195min 0.6%
[2026-06-25T14:18:51.132] [81/822] 1,800,000,000,000,000,000-1,810,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1274.0s ETA=194min 0.8%
[2026-06-25T14:19:06.660] [82/822] 1,810,000,000,000,000,000-1,820,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1290.0s ETA=194min 0.9%
[2026-06-25T14:19:22.198] [83/822] 1,820,000,000,000,000,000-1,830,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1305.0s ETA=194min 1.0%
