CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[299/822] 3,980,000,000,000,000,000-3,990,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1062.0s ETA=31min 0.3%
[300/822] 3,990,000,000,000,000,000-4,000,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1077.0s ETA=31min 0.5%
[301/822] 4,000,000,000,000,000,000-4,010,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1093.0s ETA=32min 0.6%
[302/822] 4,010,000,000,000,000,000-4,020,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1108.0s ETA=32min 0.7%
[303/822] 4,020,000,000,000,000,000-4,030,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1123.0s ETA=32min 0.8%
[304/822] 4,030,000,000,000,000,000-4,040,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1138.0s ETA=32min 1.0%
[305/822] 4,040,000,000,000,000,000-4,050,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1153.0s ETA=33min 1.1%
[306/822] 4,050,000,000,000,000,000-4,060,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1168.0s ETA=33min -1.0%
[307/822] 4,060,000,000,000,000,000-4,070,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1183.0s ETA=33min -0.9%
[308/822] 4,070,000,000,000,000,000-4,080,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1198.0s ETA=33min -0.8%
[309/822] 4,080,000,000,000,000,000-4,090,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1213.0s ETA=34min -0.7%
[310/822] 4,090,000,000,000,000,000-4,100,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1228.0s ETA=34min -0.6%
[311/822] 4,100,000,000,000,000,000-4,110,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1244.0s ETA=34min -0.4%
[312/822] 4,110,000,000,000,000,000-4,120,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1259.0s ETA=34min -0.3%
[313/822] 4,120,000,000,000,000,000-4,130,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1274.0s ETA=35min -0.2%
[314/822] 4,130,000,000,000,000,000-4,140,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1289.0s ETA=35min -0.1%
[315/822] 4,140,000,000,000,000,000-4,150,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1304.0s ETA=35min 0.0%
[316/822] 4,150,000,000,000,000,000-4,160,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1319.0s ETA=35min 0.2%
[317/822] 4,160,000,000,000,000,000-4,170,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1334.0s ETA=35min 0.3%
[318/822] 4,170,000,000,000,000,000-4,180,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1349.0s ETA=36min 0.4%
[319/822] 4,180,000,000,000,000,000-4,190,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1364.0s ETA=36min 0.5%
[320/822] 4,190,000,000,000,000,000-4,200,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1379.0s ETA=36min 0.7%
[321/822] 4,200,000,000,000,000,000-4,210,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1395.0s ETA=36min 0.8%
[322/822] 4,210,000,000,000,000,000-4,220,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1410.0s ETA=36min 0.9%
[323/822] 4,220,000,000,000,000,000-4,230,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=1425.0s ETA=37min 1.0%
[324/822] 4,230,000,000,000,000,000-4,240,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=1440.0s ETA=37min -1.1%
[325/822] 4,240,000,000,000,000,000-4,250,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=1455.0s ETA=37min -1.0%
[326/822] 4,250,000,000,000,000,000-4,260,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=1470.0s ETA=37min -0.9%
[327/822] 4,260,000,000,000,000,000-4,270,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=1485.0s ETA=37min -0.7%
[328/822] 4,270,000,000,000,000,000-4,280,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=1501.0s ETA=38min -0.6%
[329/822] 4,280,000,000,000,000,000-4,290,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=1516.0s ETA=38min -0.5%
[330/822] 4,290,000,000,000,000,000-4,300,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=1531.0s ETA=38min -0.4%
CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[402/822] 5,010,000,000,000,000,000-5,020,000,000,000,000,000 | 32.1s | found=0 total=0 | elapsed=32.0s ETA=1min -0.6%
[403/822] 5,020,000,000,000,000,000-5,030,000,000,000,000,000 | 16.2s | found=0 total=0 | elapsed=48.0s ETA=1min -0.5%
[404/822] 5,030,000,000,000,000,000-5,040,000,000,000,000,000 | 16.1s | found=0 total=0 | elapsed=65.0s ETA=1min -0.3%
[405/822] 5,040,000,000,000,000,000-5,050,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=80.0s ETA=1min -0.2%
[406/822] 5,050,000,000,000,000,000-5,060,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=96.0s ETA=2min -0.1%
[407/822] 5,060,000,000,000,000,000-5,070,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=111.0s ETA=2min 0.0%
[408/822] 5,070,000,000,000,000,000-5,080,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=127.0s ETA=2min 0.1%
[409/822] 5,080,000,000,000,000,000-5,090,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=142.0s ETA=2min 0.3%
[410/822] 5,090,000,000,000,000,000-5,100,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=158.0s ETA=3min 0.4%
[411/822] 5,100,000,000,000,000,000-5,110,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=173.0s ETA=3min 0.5%
[412/822] 5,110,000,000,000,000,000-5,120,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=189.0s ETA=3min 0.6%
[413/822] 5,120,000,000,000,000,000-5,130,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=204.0s ETA=3min 0.8%
