CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[86/822] 1,850,000,000,000,000,000-1,860,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1352.0s ETA=193min -0.9%
[87/822] 1,860,000,000,000,000,000-1,870,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1368.0s ETA=193min -0.8%
[88/822] 1,870,000,000,000,000,000-1,880,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1384.0s ETA=192min -0.6%
[89/822] 1,880,000,000,000,000,000-1,890,000,000,000,000,000 | 15.9s | found=0 total=0 | elapsed=1400.0s ETA=192min -0.5%
[90/822] 1,890,000,000,000,000,000-1,900,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1415.0s ETA=192min -0.4%
[91/822] 1,900,000,000,000,000,000-1,910,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1431.0s ETA=192min -0.3%
[92/822] 1,910,000,000,000,000,000-1,920,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1447.0s ETA=191min -0.2%
[93/822] 1,920,000,000,000,000,000-1,930,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1462.0s ETA=191min -0.0%
[94/822] 1,930,000,000,000,000,000-1,940,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1478.0s ETA=191min 0.1%
[95/822] 1,940,000,000,000,000,000-1,950,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=1493.0s ETA=190min 0.2%
[96/822] 1,950,000,000,000,000,000-1,960,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1509.0s ETA=190min 0.3%
[97/822] 1,960,000,000,000,000,000-1,970,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=1524.0s ETA=190min 0.5%
[98/822] 1,970,000,000,000,000,000-1,980,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1540.0s ETA=190min 0.6%
[99/822] 1,980,000,000,000,000,000-1,990,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1555.0s ETA=189min 0.7%
[100/822] 1,990,000,000,000,000,000-2,000,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1571.0s ETA=189min 0.8%
[101/822] 2,000,000,000,000,000,000-2,010,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1586.0s ETA=189min 0.9%
[102/822] 2,010,000,000,000,000,000-2,020,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1602.0s ETA=188min 1.1%
[103/822] 2,020,000,000,000,000,000-2,030,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1618.0s ETA=188min -1.1%
[104/822] 2,030,000,000,000,000,000-2,040,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1634.0s ETA=188min -0.9%
[105/822] 2,040,000,000,000,000,000-2,050,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1649.0s ETA=188min -0.8%
[106/822] 2,050,000,000,000,000,000-2,060,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1665.0s ETA=187min -0.7%
[107/822] 2,060,000,000,000,000,000-2,070,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1681.0s ETA=187min -0.6%
[108/822] 2,070,000,000,000,000,000-2,080,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1696.0s ETA=187min -0.4%
[109/822] 2,080,000,000,000,000,000-2,090,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=1712.0s ETA=187min -0.3%
[110/822] 2,090,000,000,000,000,000-2,100,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1727.0s ETA=186min -0.2%
[111/822] 2,100,000,000,000,000,000-2,110,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1743.0s ETA=186min -0.1%
[112/822] 2,110,000,000,000,000,000-2,120,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1759.0s ETA=186min 0.0%
[113/822] 2,120,000,000,000,000,000-2,130,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1774.0s ETA=186min 0.2%
[114/822] 2,130,000,000,000,000,000-2,140,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1790.0s ETA=185min 0.3%
[115/822] 2,140,000,000,000,000,000-2,150,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1806.0s ETA=185min 0.4%
[116/822] 2,150,000,000,000,000,000-2,160,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=1821.0s ETA=185min 0.5%
[117/822] 2,160,000,000,000,000,000-2,170,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1837.0s ETA=184min 0.6%
[118/822] 2,170,000,000,000,000,000-2,180,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1852.0s ETA=184min 0.8%
[119/822] 2,180,000,000,000,000,000-2,190,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1868.0s ETA=184min 0.9%
[120/822] 2,190,000,000,000,000,000-2,200,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1883.0s ETA=184min 1.0%
[121/822] 2,200,000,000,000,000,000-2,210,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1899.0s ETA=183min -1.1%
[122/822] 2,210,000,000,000,000,000-2,220,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1914.0s ETA=183min -1.0%
[123/822] 2,220,000,000,000,000,000-2,230,000,000,000,000,000 | 15.6s | found=0 total=0 | elapsed=1930.0s ETA=183min -0.9%
[124/822] 2,230,000,000,000,000,000-2,240,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=1945.0s ETA=182min -0.7%
[125/822] 2,240,000,000,000,000,000-2,250,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=1961.0s ETA=182min -0.6%
[126/822] 2,250,000,000,000,000,000-2,260,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=1977.0s ETA=182min -0.5%
